Fid,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
10.42.0.211-10.42.0.1-14196-53-17,Assam,KARBI ANGLONG,2014,Whole Year ,Sugarcane,7683,289809
203.205.158.52-10.42.0.151-80-57088-6,Assam,KARBI ANGLONG,2014,Whole Year ,Turmeric,1121,1133
10.42.0.42-104.254.66.16-49948-80-6,Assam,TINSUKIA,2013,Autumn     ,Paddy,5346,7595
10.42.0.42-103.235.46.212-52714-443-6,Assam,TINSUKIA,2013,Autumn     ,Rice,5346,7595
10.42.0.211-10.42.0.1-27045-53-17,Assam,TINSUKIA,2013,Kharif     ,Arhar/Tur,97,91
10.42.0.211-52.5.149.245-44216-443-6,Assam,TINSUKIA,2013,Kharif     ,Castor seed,6,3
10.42.0.211-10.42.0.1-27442-53-17,Assam,TINSUKIA,2013,Kharif     ,Cotton(lint),1,1
205.204.101.196-10.42.0.211-443-47713-6,Assam,TINSUKIA,2013,Kharif     ,Jute,7,72
10.42.0.211-10.42.0.1-64570-53-17,Assam,TINSUKIA,2013,Kharif     ,Maize,921,3455
172.217.11.10-10.42.0.211-443-42618-6,Assam,TINSUKIA,2013,Kharif     ,Mesta,1,5
203.130.53.126-10.42.0.211-80-42702-6,Assam,TINSUKIA,2013,Kharif     ,Niger seed,19,10
